"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testMultipleLinks","testMultipleLinks",""
"skipped","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Skipped test","io.klvl.SkippedTest","io.klvl.SkippedTest","testSkippedFirst","testSkippedFirst",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","13","Allure report features","Additional test information","io.klvl.annotations.AttachmentTest","io.klvl.annotations.AttachmentTest","testJsonAttachment","testJsonAttachment",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithExtension","testAddAttachmentWithExtension",""
"broken","Fri Feb 17 09:36:01 GMT 2023","Fri Feb 17 09:36:01 GMT 2023","2","Allure report features","Broken test","io.klvl.BrokenTest","io.klvl.BrokenTest","testBroken","testBroken",""
"passed","Fri Feb 17 09:36:01 GMT 2023","Fri Feb 17 09:36:01 GMT 2023","5","Allure report features","Simple test","io.klvl.SimpleTest","io.klvl.SimpleTest","testDescriptiveTestName","As a user I see descriptive test name in a report",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testTmsLink","testTmsLink",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testMultipleTmsLinks","testMultipleTmsLinks",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.ParametersTest","io.klvl.annotations.ParametersTest","testParameters","testParameters",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescriptionHtml","testDescriptionHtml",""
"failed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional report information","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testCategoryByMessageRegExp2","testCategoryByMessageRegExp2",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Descriptive names","io.klvl.descriptive.TestActionsNamesTest","io.klvl.descriptive.TestActionsNamesTest","testDescriptiveName","As allure user I can set descriptive name for my test",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testTrivialSeverity","testTrivialSeverity",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.DescriptionTest","io.klvl.annotations.DescriptionTest","testDescriptionDefaultUsage","testDescriptionDefaultUsage","The purpose of this test is to demonstrate how to add description to a report"
"unknown","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testIssuePattern","testIssuePattern",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testCriticalSeverity","testCriticalSeverity",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.AttachmentTest","io.klvl.annotations.AttachmentTest","testStringAttachment","testStringAttachment",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.StepTest","io.klvl.annotations.StepTest","testParametrizedSepName","testParametrizedSepName",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testBlockerSeverity","testBlockerSeverity",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.StepTest","io.klvl.annotations.StepTest","testDescriptiveName","As allure user I can set descriptive name for my test",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testSimpleAttach","testSimpleAttach",""
"failed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","5","Allure report features","Additional report information","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testCategoryByMessageRegExp","testCategoryByMessageRegExp",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachment","testAddAttachment",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testDefaultLinkUsage","testDefaultLinkUsage",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","11","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.StepTest","io.klvl.allurelifecycle.StepTest","testStepAsLambda","testStepAsLambda",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Suite name","io.klvl.allurelifecycle.EpicFeatureStorySuiteTest","io.klvl.allurelifecycle.EpicFeatureStorySuiteTest","testEpicFeatureStorySuite","testEpicFeatureStorySuite",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.LinkTest","io.klvl.allurelifecycle.LinkTest","testLink","testLink",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testTmsLinkPattern","testTmsLinkPattern",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.IssueTest","io.klvl.allurelifecycle.IssueTest","testIssue","testIssue",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.ParametersTest","io.klvl.allurelifecycle.ParametersTest","testParameters","testParameters",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.DescriptionTest","io.klvl.annotations.DescriptionTest","testDescriptionMultiParagraph","testDescriptionMultiParagraph","The purpose of this test is to demonstrate how to add
multi-paragraph description to
allure report
"
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","2","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithType","testAddAttachmentWithType",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescription","testDescription","The purpose of this test is to demonstrate how to add description to a report!"
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.ParametersTest","io.klvl.annotations.ParametersTest","testParameters","testParameters",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testLinkAsText","testLinkAsText",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","1","Allure report features","Additional test information","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testMinorSeverity","testMinorSeverity",""
"failed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional report information","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testSimpleCategory","testSimpleCategory",""
"skipped","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Skipped test","io.klvl.SkippedTest","io.klvl.SkippedTest","testSkippedSecond","testSkippedSecond",""
"passed","Fri Feb 17 09:36:01 GMT 2023","Fri Feb 17 09:36:01 GMT 2023","12","Allure report features","Simple test","io.klvl.SimpleTest","io.klvl.SimpleTest","testSimple","testSimple",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testNormalSeverity","testNormalSeverity",""
"unknown","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testIssue","testIssue",""
"passed","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Allure lifecycle","io.klvl.allurelifecycle.TmsLinkTest","io.klvl.allurelifecycle.TmsLinkTest","testTmsLink","testTmsLink",""
"unknown","Fri Feb 17 09:36:02 GMT 2023","Fri Feb 17 09:36:02 GMT 2023","0","Allure report features","Additional test information","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testMultipleIssues","testMultipleIssues",""
